"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"253" "SF" "whtstbk_gbs_2015_L2_brds_SF3" "SF3" 1 1 NA NA 1
"254" "SF" "whtstbk_gbs_2015_L2_brds_SF30" "SF30" 1 1 NA NA 1
"255" "SF" "whtstbk_gbs_2015_L2_brds_SF33" "SF33" 1 1 NA NA 1
"256" "SF" "whtstbk_gbs_2015_L2_brds_SF4" "SF4" 1 1 NA NA 1
"257" "SF" "whtstbk_gbs_2015_L2_brds_SF7" "SF7" 1 1 NA NA 1
"258" "SH" "whtstbk_gbs_2015_L2_brds_SH1" "SH1" 1 1 NA NA 1
"259" "SH" "whtstbk_gbs_2015_L2_brds_SH10" "SH10" 1 1 NA NA 1
"260" "SH" "whtstbk_gbs_2015_L2_brds_SH12" "SH12" 1 1 NA NA 1
"261" "SH" "whtstbk_gbs_2015_L2_brds_SH16" "SH16" 1 1 NA NA 1
"262" "SH" "whtstbk_gbs_2015_L2_brds_SH2" "SH2" 1 1 NA NA 1
"263" "SH" "whtstbk_gbs_2015_L2_brds_SH20" "SH20" 1 1 NA NA 1
"264" "SH" "whtstbk_gbs_2015_L2_brds_SH5" "SH5" 1 1 NA NA 1
"265" "SH" "whtstbk_gbs_2015_L2_brds_SH8" "SH8" 1 1 NA NA 1
"266" "SK" "whtstbk_gbs_2015_L2_brds_SK1" "SK1" 1 1 NA NA 1
"267" "SK" "whtstbk_gbs_2015_L2_brds_SK12" "SK12" 1 1 NA NA 1
"268" "SK" "whtstbk_gbs_2015_L2_brds_SK15" "SK15" 1 1 NA NA 1
"269" "SK" "whtstbk_gbs_2015_L2_brds_SK24" "SK24" 1 1 NA NA 1
"270" "SK" "whtstbk_gbs_2015_L2_brds_SK30" "SK30" 1 1 NA NA 1
"271" "SK" "whtstbk_gbs_2015_L2_brds_SK36" "SK36" 1 1 NA NA 1
"272" "SK" "whtstbk_gbs_2015_L2_brds_SK7" "SK7" 1 1 NA NA 1
"273" "SP" "whtstbk_gbs_2015_L2_brds_SP2" "SP2" 1 1 NA NA 1
"274" "SP" "whtstbk_gbs_2015_L2_brds_SP3" "SP3" 1 1 NA NA 1
"275" "SP" "whtstbk_gbs_2015_L2_brds_SP5" "SP5" 1 1 NA NA 1
"276" "SR" "whtstbk_gbs_2015_L2_brds_SR107" "SR107" 1 1 NA NA 1
"277" "SR" "whtstbk_gbs_2015_L2_brds_SR113" "SR113" 1 1 NA NA 1
"278" "SR" "whtstbk_gbs_2015_L2_brds_SR120" "SR120" 1 1 NA NA 1
"279" "SR" "whtstbk_gbs_2015_L2_brds_SR130" "SR130" 1 1 NA NA 1
"280" "SR" "whtstbk_gbs_2015_L2_brds_SR137" "SR137" 1 1 NA NA 1
"281" "SR" "whtstbk_gbs_2015_L2_brds_SR148" "SR148" 1 1 NA NA 1
"282" "SR" "whtstbk_gbs_2015_L2_brds_SR149" "SR149" 1 1 NA NA 1
